repo_full_name,repo_default_branch,file_path,nb_ok_parse,kernel_name,language,python_version_declared,exec_ok,error,exc_name,failed_cell_index,elapsed_s,original_found,outputs_equal,outputs_hash_orig,outputs_hash_exec,n_outputs_orig,n_outputs_exec
Lollith/Python-2DGC-Alignment,main,archives/augmentation.ipynb,True,python3,python,3.9.13,False,ModuleNotFoundError,,,5.634,True,False,105b92cbb5af508efb77b8bbceec755851fc2529395a8bca78c1453d9c3e05e7,,109,0
Lollith/Python-2DGC-Alignment,main,archives/benchmark_metrics.ipynb,True,python3,python,3.8.10,False,ModuleNotFoundError,,,10.091,True,False,ea99804e45b2926db3360066cc073f9fd8069669494909d7d128db98cdd68404,,116,0
Lollith/Python-2DGC-Alignment,main,archives/cdf.ipynb,True,python3,python,3.8.10,False,ModuleNotFoundError,,,3.339,True,False,4a25fba33f8e3bffad2386445cdfda75a8c4d48d65d207980fa81d9c0925ca51,,34,0
Lollith/Python-2DGC-Alignment,main,archives/centroided_cube.ipynb,True,python3,python,3.9.13,False,TimeoutExpired,,,30.014,True,False,536f3efb5060fa32f5a8ae1e2762b5f997e9baf698ed3c7a3927b3f087878fd4,,13,0
Lollith/Python-2DGC-Alignment,main,archives/discriminant_pixel.ipynb,True,python3,python,3.8.10,False,ModuleNotFoundError,,,2.481,True,False,08308b17279a665df1f73439f06f7855c5bd5fb06a67352343d53f9bcd756a0d,,20,0
Lollith/Python-2DGC-Alignment,main,archives/discriminant_pixel_aligned_chroma.ipynb,True,python3,python,3.8.10,False,ModuleNotFoundError,,,2.014,True,False,2f1fe9786894cf0ed12232250d57344867175ff97a823647e6a7eb877507fe50,,124,0
Lollith/Python-2DGC-Alignment,main,archives/find_biom.ipynb,True,python3,python,3.8.10,False,ModuleNotFoundError,,,2.116,True,False,a3953a5d35ff2895447013a5eb9282c3112149e4aed935496fcf4ac2edf03151,,269,0
MIldredDelgado/IA_EXPL,main,ClaseFIN2/miPrimerColab.ipynb,True,python3,python,,False,StdinNotImplementedError,,,5.455,True,False,839406a5308fbdb56e490875793dacdc74aa0b2b46cbebfb41dc1e670fd2a28d,,29,0
MIldredDelgado/IA_EXPL,main,ClaseFIN2/programa.ipynb,True,python3,python,3.12.9,False,SyntaxError,,,1.71,True,False,6a0c64cbde65bf57a4171935e90ba26d6a0f7c0836224a3e78d550f4e85e4f73,,37,0
MIldredDelgado/IA_EXPL,main,claseFIN3/.ipynb_checkpoints/ProcesamientoData-checkpoint.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,11.191,True,False,5cd0cebfd979973dba96f03cbaf1572d36ef07b6df76880399a9ba13bc8b44b8,,56,0
MIldredDelgado/IA_EXPL,main,claseFIN3/ProcesamientoData.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,1.924,True,False,b0dd8d409e08736ba1129d15fd7f1c08f338216166463ff4da5e9a5c5f68a88c,,55,0
MIldredDelgado/IA_EXPL,main,claseFIN3/introPandas.ipynb,True,python3,python,3.12.9,False,ValueError,,,2.148,True,False,72d3caa514b4bc37360e03b752693d39dc013a18887bca9046f8ea53a7122c3d,,38,0
MIldredDelgado/IA_EXPL,main,claseFIN4/.ipynb_checkpoints/MiPrimerModelo_Version1-checkpoint.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,3.915,True,False,95ea79e6f6e52262b1d8962818fcbca053db4f2753cc2e05481bebd74df0918f,,88,0
MIldredDelgado/IA_EXPL,main,claseFIN4/.ipynb_checkpoints/MiPrimerModelo_version2-checkpoint.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,1.809,True,False,ca644ac3b035b9a6546fc9371b635978e344e370ff7e790dcd1155e82813aedb,,93,0
MIldredDelgado/IA_EXPL,main,claseFIN4/.ipynb_checkpoints/Notebook_RegresionLineal-checkpoint.ipynb,True,python3,python,,False,ModuleNotFoundError,,,2.334,True,False,c6ee23621bb42eac361183d85130b27c43f25598729ed436c19ef12c2b077642,,4,0
MIldredDelgado/IA_EXPL,main,claseFIN4/MasModelos.ipynb,True,python3,python,3.12.9,False,ModuleNotFoundError,,,26.514,True,False,b0d5a1eddcd2eb96a45112f613026e69ec9c056287cf3aa79a7ab855327f7d96,,6,0
MaxiproDP/DS_Modules,main,Module 13/HW_01_Bank_analysys.ipynb,True,python3,python,3.10.11,False,ModuleNotFoundError,,,14.354,True,False,3d81d478a723fb6cd519f2e560bc4f2a797d58b5c29a6d4c78aa048553bc381e,,13,0
MaxiproDP/DS_Modules,main,Module 8/game.ipynb,True,python3,python,3.10.11,True,,,,1.296,True,True,5785dd7d09496a28167d5bd5fd4cd616d41c00a32d840f6f43c34c208aceebfd,5785dd7d09496a28167d5bd5fd4cd616d41c00a32d840f6f43c34c208aceebfd,1,1
MaxiproDP/DS_Modules,main,Project_01/Project-1.Анализ вакансий HeadHunter.ipynb,True,python3,python,3.10.11,False,ModuleNotFoundError,,,3.658,False,,,,,0
MicheleSimo/Collection_for_my_progress,main,EDA_ML_CustomerChurnPrediction.ipynb,True,python3,python,,False,ModuleNotFoundError,,,2.735,True,False,f14764f378d693f2237e9fe287f5bf8192ca865bbb606d2321d4712926fa08c7,,26,0
MicheleSimo/Collection_for_my_progress,main,EDA_su_veicoli.ipynb,True,python3,python,,False,ModuleNotFoundError,,,1.332,True,False,10d4f2d90954f926862ea1d00018e4b1e9c7446367fd08056b5e8eda5509d692,,11,0
Mpkosh/network_hybrid_33,main,apply_and_see-Copy1.ipynb,True,python3,python,3.11.11,False,ModuleNotFoundError,,,2.416,True,False,0349de1b0e96524f0e398e4800b1b6531d453d6ed5abce1db9a6b0131b2a0306,,64,0
Mpkosh/network_hybrid_33,main,arima.ipynb,True,python3,python,3.11.11,False,ModuleNotFoundError,,,1.387,True,False,92c1523771bac9ee6f2b67c55e662b1656a1ffd41a2bcfdf1782fb674632dc64,,82,0
Mpkosh/network_hybrid_33,main,betas.ipynb,True,python3,python,3.11.11,False,ModuleNotFoundError,,,1.415,True,False,bb32801a8ac6f7f34d11d5f93aa9cdbcf17af0e8281e9622491ab8a13c5e5bad,,20,0
Mpkosh/network_hybrid_33,main,boxplots_and_peaks.ipynb,True,python3,python,3.11.11,False,ModuleNotFoundError,,,1.368,True,False,00a7b229c5762e74761af5471b7c07574d12a26ae2e2b6ef93189295898afc41,,141,0
Mpkosh/network_hybrid_33,main,check.ipynb,True,python3,python,3.11.11,False,ModuleNotFoundError,,,1.359,True,False,402b51cfba4fe34a7232e199a893192d537fbb89ad91403bf5b641b00e272abc,,4,0
Mpkosh/network_hybrid_33,main,compare_old_new_networks_sarimax.ipynb,True,python3,python,3.11.11,False,ModuleNotFoundError,,,1.288,True,False,94427b480995a97b30080fb6529a78eeb61631ee1991289174fcaf845ed1a445,,74,0
NewYorkCityCouncil/vision-zero-final,main,code/01_clean_lion_dataset.ipynb,True,python3,python,3.9.17,False,ModuleNotFoundError,,,2.466,True,False,1fe5dae4044493f3c85ff12be7a430bbca978b1c1e0b29332131bb6ef0a5987a,,3,0
